7.1112	0.87948	0.3184	3.4141	-7.7348	-1.7242	-0.17204	-1.3822	1.2381	0.30751	-0.33999	2.1088	0.25371	-2.8372	-0.6951	-4.0591
0.87948	2.7299	-1.1193	2.8716	-1.3722	-1.697	-0.23083	2.3562	2.0792	-1.8595	0.0088122	1.4631	0.15997	-0.32153	1.0151	-2.8502
0.3184	-1.1193	6.88	0.24191	1.5067	1.2683	1.2232	0.53311	-0.56087	-0.0038304	1.4841	-2.2671	-1.2964	1.6739	-1.1563	0.18972
3.4141	2.8716	0.24191	16.424	-7.3704	-4.8195	-3.4922	2.8817	4.5134	-4.4093	5.549	3.387	-2.141	-3.7452	-4.6302	-6.649
-7.7348	-1.3722	1.5067	-7.3704	15.208	0.56914	-0.020854	5.2824	-2.8857	-2.7958	0.81098	-3.5988	1.3932	3.3229	3.5446	5.5809
-1.7242	-1.697	1.2683	-4.8195	0.56914	5.3522	-0.17109	-2.3591	-2.3726	2.6346	-2.1919	-1.8807	1.7699	0.49468	-0.79019	3.1397
-0.17204	-0.23083	1.2232	-3.4922	-0.020854	-0.17109	8.6019	-1.5696	2.0789	4.2577	0.54583	-1.7567	-7.3856	1.5866	1.8426	1.2749
-1.3822	2.3562	0.53311	2.8817	5.2824	-2.3591	-1.5696	12.044	-1.4491	-3.442	4.9421	-0.43213	3.5798	1.0192	3.4287	0.39857
1.2381	2.0792	-0.56087	4.5134	-2.8857	-2.3726	2.0789	-1.4491	5.4839	-1.3534	-1.0176	1.9889	-3.908	-0.75963	-1.1316	-3.1966
0.30751	-1.8595	-0.0038304	-4.4093	-2.7958	2.6346	4.2577	-3.442	-1.3534	6.7306	-0.25947	-2.3297	-2.5338	2.4984	1.1496	2.9416
-0.33999	0.0088122	1.4841	5.549	0.81098	-2.1919	0.54583	4.9421	-1.0176	-0.25947	9.5668	-4.0616	-1.0127	0.94937	-1.6043	1.6254
2.1088	1.4631	-2.2671	3.387	-3.5988	-1.8807	-1.7567	-0.43213	1.9889	-2.3297	-4.0616	10.323	0.71486	-4.1307	0.014838	-2.685
0.25371	0.15997	-1.2964	-2.141	1.3932	1.7699	-7.3856	3.5798	-3.908	-2.5338	-1.0127	0.71486	14.228	1.8973	-0.56001	1.8538
-2.8372	-0.32153	1.6739	-3.7452	3.3229	0.49468	1.5866	1.0192	-0.75963	2.4984	0.94937	-4.1307	1.8973	7.663	2.1572	3.0239
-0.6951	1.0151	-1.1563	-4.6302	3.5446	-0.79019	1.8426	3.4287	-1.1316	1.1496	-1.6043	0.014838	-0.56001	2.1572	6.674	0.3228
-4.0591	-2.8502	0.18972	-6.649	5.5809	3.1397	1.2749	0.39857	-3.1966	2.9416	1.6254	-2.685	1.8538	3.0239	0.3228	8.3208
